case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,85274
0,64,256,16,IHT,2,58257
0,64,256,16,HTP,3,115265
0,64,256,16,GP,5,58257
0,64,256,16,GOMP,6,47003
0,64,256,16,MP,7,49521
1,64,256,8,OMP,0,34688
1,64,256,8,CoSaMP,1,110536
1,64,256,8,IHT,2,29145
1,64,256,8,HTP,3,40399
1,64,256,8,SP,4,98853
1,64,256,8,GP,5,29145
1,64,256,8,GOMP,6,19745
1,64,256,8,MP,7,25673
2,64,256,4,OMP,0,16834
2,64,256,4,CoSaMP,1,39183
2,64,256,4,IHT,2,15389
2,64,256,4,HTP,3,19605
2,64,256,4,SP,4,29863
2,64,256,4,GP,5,15389
2,64,256,4,GOMP,6,10017
2,64,256,4,MP,7,13749
3,32,128,8,OMP,0,15072
3,32,128,8,CoSaMP,1,78376
3,32,128,8,IHT,2,10937
3,32,128,8,HTP,3,19119
3,32,128,8,SP,4,67915
3,32,128,8,GP,5,10937
3,32,128,8,GOMP,6,8977
3,32,128,8,MP,7,9001
4,32,128,4,OMP,0,6834
4,32,128,4,CoSaMP,1,23645
4,32,128,4,IHT,2,5837
4,32,128,4,HTP,3,8517
4,32,128,4,SP,4,15938
4,32,128,4,GP,5,5837
4,32,128,4,GOMP,6,4313
4,32,128,4,MP,7,4965
5,32,128,2,OMP,0,3734
5,32,128,2,CoSaMP,1,7125
5,32,128,2,IHT,2,3359
5,32,128,2,HTP,3,4617
5,32,128,2,SP,4,6315
5,32,128,2,GP,5,3359
5,32,128,2,GOMP,6,2535
5,32,128,2,MP,7,2947
6,16,64,4,OMP,0,3370
6,16,64,4,CoSaMP,1,17465
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4509
6,16,64,4,SP,4,10558
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2229
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1778
7,16,64,2,CoSaMP,1,4232
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2325
7,16,64,2,SP,4,3479
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1269
7,16,64,2,MP,7,1295
